city,lon,lat
Пикалево,34.150,59.516000000000005
Плещевицы,29.266,59.466
Поддубье,29.283,59.516000000000005
Полобицы,29.150,59.416000000000004
Прологи,29.150,59.433
Пружицы,29.660,59.516000000000005
Пятая Гора,29.750,59.45
Радицы,29.233,59.61600000000001
Раскулицы,29.266,59.5
Редежа,29.100,59.1
Редкино,29.160,59.166000000000004
Рекково,29.283,59.466
Реполка,29.600,59.266000000000005
Ржевка,29.416,59.5
Рогатино,29.433,59.433
Ронковицы,29.433,59.533
Рукулицы,29.200,59.61600000000001
Руссковицы,29.316,59.383
Рутелицы,29.500,59.6
Селище,29.550,59.233000000000004
Село,29.733,59.433
Сельцо,29.516,59.6
Синковицы,29.333,59.61600000000001
Слепино,29.660,59.183
Слободка,29.516,59.6
Смедово,29.216,59.533
Смердовицы,29.200,59.4
Сосницы,29.550,59.283
Сосново,29.633,59.2
Старицы,29.516,59.66
Старые Раглицы,29.666,59.4
Старые-Красницы,29.183,59.333
Старые-Смолеговицы,29.500,59.36600000000001
Сумино,29.483,59.466
Сумск,29.830,59.283
Сырковицы,29.150,59.35
Сяглицы,29.333,59.416000000000004
Твердять,29.433,59.83
Теглицы,29.250,59.65
Терпилицы,29.366,59.483000000000004
Торосово,29.566,59.516000000000005
Тресковицы,29.266,59.433
Труново,29.150,59.61600000000001
Тухово,29.183,59.483000000000004
Устье,29.200,59.233000000000004
Ухора,29.283,59.35
Ушевицы,29.000,59.466
Химосово,29.183,59.466
Холоповицы,29.683,59.433
Хотнежа,29.300,59.133
Хотыницы,29.500,59.433
Хревицы,28.966,59.4
Худанки,29.316,59.483000000000004
Черенковицы,29.216,59.516000000000005
Черное,29.600,59.333
Чирковицы,29.150,59.55
Шадырицы,29.660,59.316
Шелково,29.450,59.633
Эдази,29.633,59.45
Язвище,29.830,59.15
Ямки,29.283,59.4
Ястребино,28.950,59.383
Аврово,32.566,60.1
Алексино,32.583,60.5
Алферово,32.950,59.9
Андреевщина,32.666,60.16
Антипово,32.700,60.15
Ашперлово,33.550,60.166000000000004
Бабино,32.333,60.33
Баландина,33.660,60.36600000000001
Балдино,33.166,60.3
Безово,32.566,59.816
Белое,33.000,59.85
Белые Кресты,32.433,60.33
Бережки,32.333,59.75
Бисково,32.933,59.95
Блитово,32.283,59.7
Болотово,32.316,59.75
Большая Весь,33.133,60.316
Бор 1,33.350,60.233000000000004
Бор 2,32.566,59.95
Бор 3,32.350,59.85
Бор 4,32.766,59.883
Бороничево,32.333,59.833
Братовищи,32.366,59.783
Валим,32.350,59.883
Васкиничи,32.916,59.816
Вегота,32.160,60.33
Великое Село,32.583,60.0
Вельца,32.366,59.833
Веретье,32.466,59.86600000000001
Верховина,32.600,59.716
Весь 1,32.383,60.5
Виковщина,32.283,59.966
Волосово,32.900,60.316
Волхов,32.333,59.916000000000004
Вольково,32.150,59.86600000000001
Вонга,33.366,60.183
Вороново,32.650,60.266000000000005
Воскресенское,32.900,59.85
Выдрино,31.983,59.966
Вымово,32.816,60.33
Вындин Остров,32.350,59.8
Вячково,32.450,59.9
Гверстовка,32.866,59.86600000000001
Голтово,32.000,59.95
Горка 1,32.933,59.816
Горка 2,32.733,59.95
Горное,32.700,60.266000000000005
Гостинополье,32.350,59.816
Дубно,31.983,60.216
Дуброво,32.633,59.833
Дудачкино,32.883,59.95
Дяглево,32.566,59.966
Ежева,32.583,59.966
Елошня,32.516,59.833
Емское,33.166,60.3
Жупкино,32.433,59.783
Загубье,32.766,60.433
Залесье,32.660,59.816
Замошье,32.333,59.75
Заовражье,32.250,59.7
Заполек,32.350,59.95
Запорожье,32.366,59.85
Заречье,32.683,60.15
Зеленая Долина,32.250,59.983000000000004
Златынь,32.450,60.33
Иевково,32.950,60.316
Исаево,33.830,60.383
Иссад,32.350,60.66
Каменка,32.816,60.16
Карпино,33.000,60.433
Кивгода,31.716,60.216
Кивуя,32.816,60.66
Кикино,32.300,59.95
Кипуя,32.330,59.983000000000004
Кисельня,32.150,60.0
Козарево,32.166,59.9
Коленец,32.750,59.916000000000004
Колчаново,32.583,60.33
Кондега,33.500,60.233000000000004
Коскеницы,32.583,60.16
Костино,33.366,60.216
Кроватыни,32.533,59.783
Куколь,32.550,59.86600000000001
Кулаково,32.716,60.0
Кумин Бор,32.766,60.66
Кустково,32.366,60.33
Кути,32.100,59.966
Лавния,31.966,60.83
Леоновщина,32.533,59.816
Лесозавод,33.660,60.383
Лигово,31.800,60.216
Лисички,32.283,59.933
Логиново,32.933,59.9
Лука,32.750,59.9
Лукина Изба,33.416,60.333
Лунгачи,32.666,60.133
Льзи,32.716,59.966
Любынь,32.233,59.766000000000005
Малашата,33.366,60.233000000000004
Малая Весь,33.150,60.316
Манихино,32.966,60.35
Матеево,32.566,60.83
Межумошье,32.300,60.33
Мелекса,32.750,59.916000000000004
Местовка,32.233,60.0
Монастырек,32.000,59.95
Моршагино,32.283,59.816
Мыслино,32.600,59.833
Наволок,32.733,59.95
Надозерье,32.933,59.916000000000004
Нивы,32.583,59.95
Низино,32.633,60.166000000000004
Николаевщина,33.216,60.316
Новая,32.830,60.0
Новая Деревня,33.250,60.283
Новинка,33.533,60.166000000000004
Новое Ковалёво,30.566,59.983000000000004
Новозотовское,33.830,60.35
Нурма,32.500,59.966
Октябрьская Слобода,33.100,60.4
Остров 2,32.900,59.86600000000001
Отаево,32.550,60.1
Охромовщина,32.516,59.816
Панево,32.366,59.8
Пашский Перевоз,32.983,60.4
Перевоз,32.550,60.1
Пески,32.133,60.16
Песчаница,32.933,60.35
Печеничино,33.366,60.216
Плеханово,32.333,59.95
Плотичное,32.350,59.833
Погостище,32.850,59.86600000000001
Подбережье,32.966,60.45
Подвязье,32.533,59.816
Подол,32.333,60.33
Подъелье,33.366,60.216
Помялово,32.350,59.766000000000005
Порог,32.850,59.86600000000001
Пороги,32.333,59.883
Посадница,32.583,60.5
Потанино,32.783,60.266000000000005
Прокшеницы,32.816,59.86600000000001
Пруди,32.933,59.833
Прусынская Горка,32.266,59.716
Прусыня,32.233,59.716
Пульница,32.566,60.1
Пупышево,32.100,59.9
Пурово,32.000,59.883
Раменье,32.500,59.883
Реброво,32.583,60.66
Ручей,32.533,59.8
Ручьи,33.330,60.383
Рыбежно,33.830,60.333
Рыжково,32.583,60.83
Рязановщина,33.500,60.383
Свирица,32.900,60.466
Свирь-Городок,32.616,60.133
Селиваново,32.666,60.2
Селиверстово,32.116,60.0
Симанково,32.350,59.95
Скит,32.683,59.816
Славково,32.466,59.816
Смелково,33.166,60.3
Соловьево,32.116,60.33
Сонино,32.900,60.35
Старая Ладога,32.300,60.0
Старая Силовая,33.830,60.36600000000001
Столбово,32.800,59.883
Сторожно,32.616,60.533
Сумское,31.883,60.216
Сырецкое,32.683,59.9
Сюрья,32.660,60.33
Тайбольское,33.830,60.35
Телжево,32.750,60.2
Теребонижье,32.500,59.8
Теребочево,32.216,59.75
Теребуня,32.733,59.933
Тихомировщина,32.816,60.11600000000001
Токарево,32.933,59.916000000000004
Трусово,32.250,60.33
Труфаново,32.216,59.933
Ульяшево,32.366,59.8
Урицкое,33.350,60.233000000000004
Усть-Рыбежно,33.116,60.333
Хамонтово,32.566,60.0
Харчевня,31.950,60.66
Хвалово,32.733,59.95
Хотово,32.830,59.75
Хотуча,32.316,59.75
Чажешно,32.250,59.733000000000004
Часовенское,33.333,60.25
Черноручье,32.400,59.633
Черноушево,32.160,60.66
Чуново,32.816,60.216
Шахново,32.683,60.266000000000005
Шолтоло,32.850,60.283
